epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
53,101.789,0.79497,0.70968,0.01172,0.59934,0.4814,0.67872,0.42901,1.95298,1.34596,0.0166,5.77388e-05,5.77388e-05,5.77388e-05
54,103.747,1.01969,1.19835,0.0172,0.59934,0.4814,0.67872,0.42901,1.95298,1.34596,0.0166,5.65607e-05,5.65607e-05,5.65607e-05
55,105.62,0.8888,0.66846,0.00893,0.59321,0.47892,0.67,0.42414,1.96726,1.33652,0.01681,5.53826e-05,5.53826e-05,5.53826e-05
56,107.445,0.92637,1.01068,0.00904,0.59321,0.47892,0.67,0.42414,1.96726,1.33652,0.01681,5.42045e-05,5.42045e-05,5.42045e-05
57,109.285,0.73077,0.75491,0.00798,0.59321,0.47892,0.67,0.42414,1.96726,1.33652,0.01681,5.30264e-05,5.30264e-05,5.30264e-05
58,111.189,0.78122,0.58293,0.0071,0.43159,0.50726,0.52597,0.31237,1.98264,1.36715,0.01684,5.18483e-05,5.18483e-05,5.18483e-05
59,113.104,1.08737,0.67182,0.01745,0.43159,0.50726,0.52597,0.31237,1.98264,1.36715,0.01684,5.06702e-05,5.06702e-05,5.06702e-05
60,115.143,0.96794,1.22041,0.01555,0.43159,0.50726,0.52597,0.31237,1.98264,1.36715,0.01684,4.94921e-05,4.94921e-05,4.94921e-05
61,117.089,0.70995,0.61626,0.00776,0.57912,0.47771,0.50333,0.29171,1.99817,1.49741,0.01721,4.8314e-05,4.8314e-05,4.8314e-05
62,119.054,0.65616,0.89641,0.01073,0.57912,0.47771,0.50333,0.29171,1.99817,1.49741,0.01721,4.71359e-05,4.71359e-05,4.71359e-05
63,120.931,1.12982,2.10921,0.02163,0.57912,0.47771,0.50333,0.29171,1.99817,1.49741,0.01721,4.59578e-05,4.59578e-05,4.59578e-05
64,122.838,0.86037,0.82041,0.00847,0.75526,0.50587,0.52597,0.29625,2.01275,1.48036,0.01748,4.47797e-05,4.47797e-05,4.47797e-05
65,124.687,0.72377,0.53389,0.00846,0.75526,0.50587,0.52597,0.29625,2.01275,1.48036,0.01748,4.36016e-05,4.36016e-05,4.36016e-05
66,126.538,0.72433,0.51031,0.01185,0.75526,0.50587,0.52597,0.29625,2.01275,1.48036,0.01748,4.24235e-05,4.24235e-05,4.24235e-05
67,128.402,0.71886,0.4167,0.00658,0.59786,0.51163,0.5525,0.30492,2.01813,1.48797,0.01751,4.12454e-05,4.12454e-05,4.12454e-05
68,130.183,0.99902,0.82928,0.01074,0.59786,0.51163,0.5525,0.30492,2.01813,1.48797,0.01751,4.00673e-05,4.00673e-05,4.00673e-05
69,132.072,0.79335,0.7177,0.01105,0.59786,0.51163,0.5525,0.30492,2.01813,1.48797,0.01751,3.88892e-05,3.88892e-05,3.88892e-05
70,133.945,1.01134,0.9507,0.01568,0.77225,0.51296,0.52923,0.29843,2.02844,1.50079,0.01774,3.77111e-05,3.77111e-05,3.77111e-05
71,135.715,0.66844,0.63377,0.00497,0.77225,0.51296,0.52923,0.29843,2.02844,1.50079,0.01774,3.6533e-05,3.6533e-05,3.6533e-05
72,137.51,0.78889,0.53695,0.00682,0.77225,0.51296,0.52923,0.29843,2.02844,1.50079,0.01774,3.53549e-05,3.53549e-05,3.53549e-05
73,139.356,0.71333,0.69908,0.00834,0.77074,0.50854,0.5525,0.29903,2.0348,1.56284,0.0178,3.41768e-05,3.41768e-05,3.41768e-05
74,141.281,0.91197,0.75745,0.01086,0.77074,0.50854,0.5525,0.29903,2.0348,1.56284,0.0178,3.29987e-05,3.29987e-05,3.29987e-05
75,143.569,1.12201,1.09251,0.01988,0.77074,0.50854,0.5525,0.29903,2.0348,1.56284,0.0178,3.18206e-05,3.18206e-05,3.18206e-05
76,146.015,0.71119,0.769,0.00745,0.77644,0.51155,0.529,0.29836,2.04046,1.51326,0.01814,3.06425e-05,3.06425e-05,3.06425e-05
77,147.884,0.78582,0.78663,0.00876,0.77644,0.51155,0.529,0.29836,2.04046,1.51326,0.01814,2.94644e-05,2.94644e-05,2.94644e-05
78,149.729,1.00327,0.96305,0.01156,0.77644,0.51155,0.529,0.29836,2.04046,1.51326,0.01814,2.82863e-05,2.82863e-05,2.82863e-05
79,151.612,0.59559,0.55881,0.00625,0.75422,0.5096,0.5598,0.29811,2.04027,1.56035,0.01793,2.71082e-05,2.71082e-05,2.71082e-05
80,153.484,0.78899,0.63692,0.00938,0.75422,0.5096,0.5598,0.29811,2.04027,1.56035,0.01793,2.59301e-05,2.59301e-05,2.59301e-05
